src,dst,l_A,l_B,l_e,timestamp
16,45,type1,type1,edge1,2004-07-24 07:51:00
16,46,type1,type1,edge2,2004-07-24 08:27:24
16,46,type1,type1,edge1,2004-07-24 17:41:33
16,27,type1,type1,edge3,2004-07-24 17:42:47
16,46,type1,type1,edge2,2004-07-25 00:01:00
16,45,type1,type1,edge1,2004-07-25 00:04:04
16,31,type1,type1,edge1,2004-07-25 00:05:36
16,31,type1,type1,edge1,2004-07-25 00:06:44
16,27,type1,type1,edge1,2004-07-25 00:33:30
16,30,type1,type1,edge1,2004-07-25 00:45:13
30,16,type1,type1,edge4,2004-07-25 00:47:03
16,46,type1,type1,edge1,2004-07-25 00:58:32
16,31,type1,type1,edge1,2004-07-25 01:00:00
16,31,type1,type1,edge1,2004-07-25 01:00:46
31,16,type1,type1,edge2,2004-07-25 01:03:54
45,16,type1,type1,edge4,2004-07-25 01:08:04
39,288,type1,type2,edge2,2004-07-25 01:43:39
16,46,type1,type1,edge1,2004-07-25 01:49:11
83,42,type1,type1,edge1,2004-07-25 14:33:12
42,83,type1,type1,edge2,2004-07-25 14:38:50
39,295,type1,type2,edge2,2004-07-25 15:51:23
16,46,type1,type1,edge1,2004-07-25 17:01:50
16,46,type1,type1,edge2,2004-07-25 17:03:30
16,7,type1,type1,edge1,2004-07-25 17:29:09
38,86,type1,type1,edge1,2004-07-25 18:52:00
273,39,type2,type1,edge1,2004-07-25 19:43:53
16,46,type1,type1,edge1,2004-07-25 19:44:06
16,27,type1,type1,edge1,2004-07-25 19:47:32
16,46,type1,type1,edge1,2004-07-25 20:28:17
16,47,type1,type1,edge1,2004-07-25 20:29:51
16,36,type1,type1,edge1,2004-07-25 20:33:00
16,44,type1,type1,edge1,2004-07-25 20:41:21
39,264,type1,type2,edge4,2004-07-25 20:54:43
16,46,type1,type1,edge1,2004-07-25 21:01:08
16,46,type1,type1,edge1,2004-07-25 21:02:06
16,53,type1,type1,edge1,2004-07-25 21:12:00
16,46,type1,type1,edge1,2004-07-25 21:32:28
16,27,type1,type1,edge2,2004-07-25 21:33:27
16,46,type1,type1,edge1,2004-07-25 22:43:32
16,46,type1,type1,edge1,2004-07-25 23:50:54
16,31,type1,type1,edge1,2004-07-25 23:53:04
6,86,type1,type1,edge3,2004-07-25 23:53:12
16,31,type1,type1,edge1,2004-07-25 23:53:51
27,16,type1,type1,edge4,2004-07-25 23:54:55
86,13,type1,type1,edge2,2004-07-26 00:07:59
16,27,type1,type1,edge1,2004-07-26 00:35:19
13,86,type1,type1,edge2,2004-07-26 00:49:09
13,86,type1,type1,edge2,2004-07-26 00:59:59
16,46,type1,type1,edge1,2004-07-26 02:08:05
16,46,type1,type1,edge2,2004-07-26 02:21:36
83,49,type1,type1,edge3,2004-07-26 06:10:45
39,313,type1,type2,edge1,2004-07-26 11:46:13
39,313,type1,type2,edge2,2004-07-26 13:44:59
83,49,type1,type1,edge1,2004-07-26 14:25:11
83,49,type1,type1,edge1,2004-07-26 14:26:22
83,49,type1,type1,edge4,2004-07-26 14:27:12
16,46,type1,type1,edge2,2004-07-26 16:55:32
271,39,type2,type1,edge1,2004-07-26 17:08:55
78,171,type1,type2,edge1,2004-07-26 18:23:39
46,86,type1,type1,edge4,2004-07-26 18:39:38
78,171,type1,type2,edge1,2004-07-26 18:45:18
171,78,type2,type1,edge2,2004-07-26 18:46:17
86,13,type1,type1,edge2,2004-07-26 19:01:00
155,78,type2,type1,edge3,2004-07-26 20:20:45
83,49,type1,type1,edge2,2004-07-26 20:27:11
46,86,type1,type1,edge4,2004-07-26 21:05:06
16,46,type1,type1,edge1,2004-07-26 21:41:47
199,78,type2,type1,edge2,2004-07-26 21:48:53
155,78,type2,type1,edge2,2004-07-26 23:24:49
155,78,type2,type1,edge2,2004-07-26 23:29:21
155,78,type2,type1,edge2,2004-07-26 23:52:00
16,30,type1,type1,edge1,2004-07-27 00:06:50
16,26,type1,type1,edge2,2004-07-27 00:08:13
16,46,type1,type1,edge1,2004-07-27 00:16:42
16,30,type1,type1,edge4,2004-07-27 00:18:00
16,45,type1,type1,edge1,2004-07-27 01:05:15
10,86,type1,type1,edge2,2004-07-27 01:31:29
1,86,type1,type1,edge2,2004-07-27 02:04:10
16,46,type1,type1,edge2,2004-07-27 02:45:27
10,86,type1,type1,edge1,2004-07-27 03:07:06
83,49,type1,type1,edge4,2004-07-27 04:04:10
45,16,type1,type1,edge1,2004-07-27 04:33:38
5,86,type1,type1,edge1,2004-07-27 05:15:05
6,86,type1,type1,edge1,2004-07-27 06:07:37
16,45,type1,type1,edge1,2004-07-27 07:58:39
171,78,type2,type1,edge2,2004-07-27 11:34:54
78,169,type1,type2,edge3,2004-07-27 11:43:01
78,154,type1,type2,edge1,2004-07-27 14:40:32
78,155,type1,type2,edge1,2004-07-27 14:41:35
78,170,type1,type2,edge1,2004-07-27 17:23:47
155,78,type2,type1,edge3,2004-07-27 17:29:10
39,313,type1,type2,edge2,2004-07-27 17:49:33
78,169,type1,type2,edge1,2004-07-27 17:51:08
78,170,type1,type2,edge1,2004-07-27 17:52:04
83,2,type1,type1,edge3,2004-07-27 18:43:38
78,155,type1,type2,edge1,2004-07-27 20:55:49
78,155,type1,type2,edge1,2004-07-27 21:05:44
78,155,type1,type2,edge1,2004-07-27 21:22:46
78,155,type1,type2,edge2,2004-07-27 21:49:10
46,86,type1,type1,edge3,2004-07-27 22:12:12
86,38,type1,type1,edge2,2004-07-28 02:57:46
86,38,type1,type1,edge1,2004-07-28 03:30:29
16,46,type1,type1,edge2,2004-07-28 04:26:09
86,38,type1,type1,edge1,2004-07-28 05:28:08
16,1,type1,type1,edge2,2004-07-28 13:55:58
78,165,type1,type2,edge1,2004-07-28 14:41:39
78,165,type1,type2,edge1,2004-07-28 14:53:01
16,22,type1,type1,edge1,2004-07-28 15:59:01
16,48,type1,type1,edge1,2004-07-28 16:03:36
16,47,type1,type1,edge2,2004-07-28 16:05:48
6,86,type1,type1,edge1,2004-07-28 16:22:06
16,27,type1,type1,edge2,2004-07-28 17:07:27
16,27,type1,type1,edge1,2004-07-28 17:10:42
27,16,type1,type1,edge2,2004-07-28 17:19:10
86,5,type1,type1,edge1,2004-07-28 17:30:33
86,38,type1,type1,edge1,2004-07-28 17:32:23
5,86,type1,type1,edge1,2004-07-28 17:32:58
86,29,type1,type1,edge1,2004-07-28 17:34:34
86,10,type1,type1,edge1,2004-07-28 17:35:40
86,1,type1,type1,edge2,2004-07-28 17:37:15
86,38,type1,type1,edge1,2004-07-28 19:31:31
86,29,type1,type1,edge1,2004-07-28 19:32:41
86,10,type1,type1,edge1,2004-07-28 19:33:38
86,5,type1,type1,edge1,2004-07-28 19:34:32
16,27,type1,type1,edge1,2004-07-28 22:41:34
27,16,type1,type1,edge2,2004-07-28 23:46:57
83,49,type1,type1,edge2,2004-07-29 00:14:15
83,49,type1,type1,edge2,2004-07-29 00:18:52
53,86,type1,type1,edge3,2004-07-29 01:46:53
304,39,type2,type1,edge2,2004-07-29 01:49:37
83,5,type1,type1,edge2,2004-07-29 01:51:35
83,26,type1,type1,edge2,2004-07-29 02:09:53
83,32,type1,type1,edge1,2004-07-29 02:12:32
83,23,type1,type1,edge2,2004-07-29 02:13:09
50,83,type1,type1,edge2,2004-07-29 02:20:08
16,32,type1,type1,edge1,2004-07-29 02:42:32
16,26,type1,type1,edge2,2004-07-29 02:43:23
83,35,type1,type1,edge1,2004-07-29 02:44:22
83,35,type1,type1,edge1,2004-07-29 02:52:49
86,10,type1,type1,edge2,2004-07-29 03:22:55
16,26,type1,type1,edge1,2004-07-29 04:51:57
78,166,type1,type2,edge1,2004-07-29 12:02:37
78,164,type1,type2,edge1,2004-07-29 12:03:02
78,164,type1,type2,edge2,2004-07-29 12:19:34
78,199,type1,type2,edge1,2004-07-29 13:56:56
78,164,type1,type2,edge2,2004-07-29 13:58:27
78,213,type1,type2,edge1,2004-07-29 14:05:07
83,26,type1,type1,edge1,2004-07-29 14:19:52
304,39,type2,type1,edge2,2004-07-29 15:05:22
83,5,type1,type1,edge2,2004-07-29 15:07:21
83,49,type1,type1,edge1,2004-07-29 15:14:12
83,49,type1,type1,edge2,2004-07-29 15:14:39
83,49,type1,type1,edge2,2004-07-29 15:17:18
39,264,type1,type2,edge2,2004-07-29 16:27:05
78,219,type1,type2,edge1,2004-07-29 18:24:17
2,86,type1,type1,edge1,2004-07-29 18:44:35
39,264,type1,type2,edge4,2004-07-29 19:02:25
16,47,type1,type1,edge1,2004-07-29 19:13:43
16,46,type1,type1,edge2,2004-07-29 19:14:52
38,86,type1,type1,edge1,2004-07-29 19:26:56
86,29,type1,type1,edge2,2004-07-29 19:28:19
86,6,type1,type1,edge3,2004-07-29 19:31:06
86,38,type1,type1,edge2,2004-07-29 19:37:39
86,29,type1,type1,edge2,2004-07-29 19:40:50
2,86,type1,type1,edge2,2004-07-29 19:41:10
78,216,type1,type2,edge2,2004-07-29 20:34:52
29,86,type1,type1,edge1,2004-07-29 20:39:04
86,6,type1,type1,edge2,2004-07-29 20:40:13
10,86,type1,type1,edge2,2004-07-29 20:42:36
86,29,type1,type1,edge1,2004-07-29 20:44:51
78,219,type1,type2,edge2,2004-07-29 20:45:17
1,86,type1,type1,edge1,2004-07-29 20:49:32
6,86,type1,type1,edge1,2004-07-29 20:50:54
5,86,type1,type1,edge1,2004-07-29 21:07:15
29,86,type1,type1,edge2,2004-07-29 21:10:00
83,49,type1,type1,edge1,2004-07-29 21:21:54
83,49,type1,type1,edge1,2004-07-29 21:22:59
83,49,type1,type1,edge1,2004-07-29 21:24:20
83,49,type1,type1,edge1,2004-07-29 21:25:08
86,29,type1,type1,edge2,2004-07-29 21:59:47
86,29,type1,type1,edge2,2004-07-29 22:14:11
29,86,type1,type1,edge1,2004-07-29 22:19:18
86,29,type1,type1,edge2,2004-07-29 22:42:25
83,49,type1,type1,edge1,2004-07-29 23:29:11
83,49,type1,type1,edge2,2004-07-29 23:29:33
31,16,type1,type1,edge4,2004-07-29 23:33:07
16,1,type1,type1,edge1,2004-07-29 23:57:42
86,38,type1,type1,edge1,2004-07-30 00:01:51
6,86,type1,type1,edge1,2004-07-30 00:09:09
86,38,type1,type1,edge2,2004-07-30 00:49:54
78,216,type1,type2,edge1,2004-07-30 00:50:32
38,86,type1,type1,edge1,2004-07-30 01:00:22
38,86,type1,type1,edge2,2004-07-30 01:02:48
83,49,type1,type1,edge1,2004-07-30 01:54:17
83,49,type1,type1,edge1,2004-07-30 01:55:52
83,49,type1,type1,edge4,2004-07-30 01:56:45
83,49,type1,type1,edge2,2004-07-30 02:07:56
78,216,type1,type2,edge1,2004-07-30 02:17:13
86,38,type1,type1,edge1,2004-07-30 03:14:21
1,86,type1,type1,edge1,2004-07-30 03:18:16
86,29,type1,type1,edge1,2004-07-30 04:00:58
5,86,type1,type1,edge2,2004-07-30 06:01:16
16,46,type1,type1,edge2,2004-07-30 08:01:12
16,46,type1,type1,edge2,2004-07-30 13:23:04
2,86,type1,type1,edge1,2004-07-30 15:22:35
86,38,type1,type1,edge1,2004-07-30 15:49:27
86,28,type1,type1,edge1,2004-07-30 15:50:36
86,38,type1,type1,edge1,2004-07-30 15:51:43
86,53,type1,type1,edge1,2004-07-30 15:53:22
16,46,type1,type1,edge1,2004-07-30 16:17:47
38,86,type1,type1,edge1,2004-07-30 16:39:22
16,46,type1,type1,edge1,2004-07-30 17:11:42
16,46,type1,type1,edge1,2004-07-30 18:12:13
2,86,type1,type1,edge1,2004-07-30 18:57:33
86,53,type1,type1,edge1,2004-07-30 19:12:06
16,46,type1,type1,edge1,2004-07-30 20:38:32
83,49,type1,type1,edge2,2004-07-30 21:01:04
83,49,type1,type1,edge1,2004-07-30 21:15:16
86,6,type1,type1,edge2,2004-07-30 21:45:16
78,155,type1,type2,edge3,2004-07-30 22:36:18
83,5,type1,type1,edge1,2004-07-30 22:39:12
83,5,type1,type1,edge2,2004-07-30 22:40:26
16,46,type1,type1,edge1,2004-07-30 23:44:37
78,155,type1,type2,edge4,2004-07-30 23:48:24
3,83,type1,type1,edge2,2004-07-30 23:56:16
83,5,type1,type1,edge1,2004-07-31 00:00:20
83,3,type1,type1,edge2,2004-07-31 00:00:54
220,78,type2,type1,edge1,2004-07-31 00:03:52
78,164,type1,type2,edge3,2004-07-31 00:10:09
16,20,type1,type1,edge1,2004-07-31 01:48:19
16,30,type1,type1,edge4,2004-07-31 01:50:11
16,30,type1,type1,edge1,2004-07-31 03:36:16
31,16,type1,type1,edge3,2004-07-31 03:49:12
30,16,type1,type1,edge2,2004-07-31 03:54:26
78,220,type1,type2,edge1,2004-07-31 13:55:48
83,26,type1,type1,edge2,2004-07-31 14:54:02
83,49,type1,type1,edge2,2004-07-31 14:56:15
83,49,type1,type1,edge2,2004-07-31 14:58:12
16,46,type1,type1,edge1,2004-07-31 15:22:34
16,30,type1,type1,edge1,2004-07-31 18:19:06
16,46,type1,type1,edge2,2004-07-31 18:47:47
83,49,type1,type1,edge2,2004-07-31 19:17:56
86,20,type1,type1,edge1,2004-07-31 20:22:54
83,49,type1,type1,edge2,2004-07-31 20:39:00
16,55,type1,type1,edge2,2004-07-31 21:11:59
83,49,type1,type1,edge1,2004-07-31 21:53:40
83,49,type1,type1,edge1,2004-07-31 21:54:02
83,49,type1,type1,edge1,2004-07-31 21:55:04
83,49,type1,type1,edge1,2004-07-31 21:55:58
83,49,type1,type1,edge1,2004-08-01 00:05:52
16,30,type1,type1,edge2,2004-08-01 00:14:26
30,16,type1,type1,edge4,2004-08-01 00:14:57
20,86,type1,type1,edge2,2004-08-01 00:51:09
83,26,type1,type1,edge1,2004-08-01 00:55:57
83,3,type1,type1,edge2,2004-08-01 00:57:46
20,86,type1,type1,edge1,2004-08-01 01:18:54
45,16,type1,type1,edge2,2004-08-01 01:24:16
16,30,type1,type1,edge1,2004-08-01 01:40:22
16,30,type1,type1,edge1,2004-08-01 01:50:56
3,83,type1,type1,edge1,2004-08-01 02:08:20
78,224,type1,type2,edge1,2004-08-01 03:55:58
78,224,type1,type2,edge2,2004-08-01 03:57:09
83,40,type1,type1,edge1,2004-08-01 04:11:19
86,54,type1,type1,edge2,2004-08-01 05:58:19
20,86,type1,type1,edge1,2004-08-01 06:47:15
86,20,type1,type1,edge1,2004-08-01 06:48:33
78,155,type1,type2,edge1,2004-08-01 11:16:44
78,157,type1,type2,edge3,2004-08-01 11:20:14
83,49,type1,type1,edge3,2004-08-01 14:41:24
83,49,type1,type1,edge2,2004-08-01 15:02:05
83,49,type1,type1,edge2,2004-08-01 15:05:26
83,49,type1,type1,edge2,2004-08-01 15:09:08
83,49,type1,type1,edge4,2004-08-01 15:10:29
83,61,type1,type1,edge4,2004-08-01 15:28:49
83,35,type1,type1,edge2,2004-08-01 15:40:25
83,35,type1,type1,edge1,2004-08-01 15:44:21
83,35,type1,type1,edge1,2004-08-01 15:48:25
83,41,type1,type1,edge1,2004-08-01 15:56:13
83,49,type1,type1,edge2,2004-08-01 15:57:44
83,49,type1,type1,edge2,2004-08-01 15:59:55
165,78,type2,type1,edge3,2004-08-01 16:30:31
78,220,type1,type2,edge1,2004-08-01 16:46:39
78,164,type1,type2,edge4,2004-08-01 21:37:23
83,49,type1,type1,edge2,2004-08-01 22:12:01
83,23,type1,type1,edge1,2004-08-01 22:56:36
83,23,type1,type1,edge2,2004-08-01 22:58:24
16,46,type1,type1,edge2,2004-08-02 01:48:09
83,26,type1,type1,edge1,2004-08-02 12:28:29
83,26,type1,type1,edge2,2004-08-02 12:29:04
83,26,type1,type1,edge2,2004-08-02 13:12:31
83,26,type1,type1,edge2,2004-08-02 13:29:45
83,26,type1,type1,edge2,2004-08-02 13:31:35
78,165,type1,type2,edge1,2004-08-02 15:11:03
83,10,type1,type1,edge2,2004-08-02 15:44:31
16,46,type1,type1,edge1,2004-08-02 22:59:29
16,58,type1,type1,edge1,2004-08-02 23:25:48
16,31,type1,type1,edge1,2004-08-02 23:31:08
16,58,type1,type1,edge1,2004-08-02 23:31:42
16,58,type1,type1,edge1,2004-08-02 23:32:38
16,1,type1,type1,edge4,2004-08-02 23:36:32
16,58,type1,type1,edge1,2004-08-02 23:51:05
1,16,type1,type1,edge4,2004-08-02 23:52:10
16,31,type1,type1,edge2,2004-08-03 00:30:38
16,46,type1,type1,edge1,2004-08-03 00:38:38
83,49,type1,type1,edge1,2004-08-03 00:58:40
16,46,type1,type1,edge1,2004-08-03 02:19:14
16,46,type1,type1,edge1,2004-08-03 02:20:03
29,95,type1,type1,edge4,2004-08-03 16:26:53
16,32,type1,type1,edge2,2004-08-03 19:44:47
1,16,type1,type1,edge2,2004-08-04 02:23:36
1,16,type1,type1,edge1,2004-08-04 02:26:23
18,46,type1,type1,edge2,2004-08-04 03:00:15
18,46,type1,type1,edge2,2004-08-04 03:07:29
16,44,type1,type1,edge1,2004-08-04 17:24:39
16,46,type1,type1,edge1,2004-08-05 00:16:27
16,46,type1,type1,edge2,2004-08-05 00:19:12
29,95,type1,type1,edge4,2004-08-05 16:40:39
29,106,type1,type2,edge1,2004-08-05 21:02:30
29,106,type1,type2,edge1,2004-08-06 21:39:05
29,9,type1,type1,edge2,2004-08-06 23:06:21
29,14,type1,type1,edge1,2004-08-06 23:53:55
29,115,type1,type2,edge1,2004-08-06 23:59:59
29,14,type1,type1,edge1,2004-08-07 00:19:13
29,14,type1,type1,edge1,2004-08-07 00:49:24
29,115,type1,type2,edge1,2004-08-07 00:51:23
29,115,type1,type2,edge2,2004-08-07 01:18:38
29,14,type1,type1,edge1,2004-08-07 01:48:28
29,14,type1,type1,edge1,2004-08-07 01:48:51
29,115,type1,type2,edge1,2004-08-07 01:54:30
29,111,type1,type2,edge2,2004-08-07 02:02:47
29,116,type1,type2,edge1,2004-08-07 02:15:25
29,111,type1,type2,edge2,2004-08-07 02:18:30
29,115,type1,type2,edge1,2004-08-07 16:44:29
29,95,type1,type1,edge2,2004-08-07 17:11:15
29,41,type1,type1,edge1,2004-08-07 22:23:38
29,112,type1,type2,edge1,2004-08-07 22:26:09
35,83,type1,type1,edge2,2004-08-07 23:37:33
29,102,type1,type2,edge1,2004-08-08 01:14:00
102,29,type2,type1,edge1,2004-08-08 01:42:38
29,102,type1,type2,edge2,2004-08-08 04:25:46
29,41,type1,type1,edge1,2004-08-08 04:29:19
29,95,type1,type1,edge2,2004-08-08 11:50:59
29,95,type1,type1,edge4,2004-08-08 13:25:16
83,49,type1,type1,edge2,2004-08-08 13:59:17
83,26,type1,type1,edge2,2004-08-08 15:09:29
83,49,type1,type1,edge2,2004-08-08 18:20:44
83,26,type1,type1,edge1,2004-08-08 21:21:29
29,95,type1,type1,edge3,2004-08-08 21:36:18
83,26,type1,type1,edge2,2004-08-08 21:47:41
83,23,type1,type1,edge1,2004-08-08 21:49:17
83,49,type1,type1,edge2,2004-08-08 21:50:17
83,3,type1,type1,edge1,2004-08-08 21:52:33
83,26,type1,type1,edge1,2004-08-08 22:45:36
83,26,type1,type1,edge1,2004-08-08 23:32:53
83,26,type1,type1,edge1,2004-08-08 23:48:41
29,41,type1,type1,edge1,2004-08-09 00:38:19
29,41,type1,type1,edge1,2004-08-09 00:39:30
29,41,type1,type1,edge3,2004-08-09 00:40:28
29,41,type1,type1,edge1,2004-08-09 00:49:56
29,41,type1,type1,edge1,2004-08-09 00:51:24
29,36,type1,type1,edge1,2004-08-09 00:53:08
29,89,type1,type1,edge1,2004-08-09 00:54:40
83,33,type1,type1,edge3,2004-08-09 01:05:36
83,33,type1,type1,edge2,2004-08-09 01:28:45
83,33,type1,type1,edge4,2004-08-09 01:32:27
83,23,type1,type1,edge2,2004-08-09 02:30:20
89,29,type1,type1,edge2,2004-08-09 03:36:22
83,23,type1,type1,edge1,2004-08-09 04:41:42
23,83,type1,type1,edge1,2004-08-09 04:42:26
23,83,type1,type1,edge1,2004-08-09 04:43:45
83,23,type1,type1,edge1,2004-08-09 04:47:22
83,65,type1,type1,edge1,2004-08-09 13:44:46
83,65,type1,type1,edge1,2004-08-09 13:45:43
39,297,type1,type2,edge1,2004-08-09 16:41:16
297,39,type2,type1,edge3,2004-08-09 16:42:37
297,39,type2,type1,edge1,2004-08-09 16:58:06
297,39,type2,type1,edge2,2004-08-09 16:58:55
39,273,type1,type2,edge1,2004-08-09 17:05:17
273,39,type2,type1,edge4,2004-08-09 17:07:26
5,20,type1,type1,edge2,2004-08-09 17:54:40
20,3,type1,type1,edge1,2004-08-09 18:46:09
20,5,type1,type1,edge2,2004-08-09 18:47:07
4,20,type1,type1,edge2,2004-08-09 19:02:48
5,20,type1,type1,edge1,2004-08-09 19:13:25
20,6,type1,type1,edge1,2004-08-09 19:37:15
20,6,type1,type1,edge2,2004-08-09 19:38:26
43,150,type1,type2,edge1,2004-08-09 20:30:05
29,111,type1,type2,edge1,2004-08-09 21:30:03
29,111,type1,type2,edge1,2004-08-09 21:30:14
29,106,type1,type2,edge2,2004-08-09 21:53:50
106,29,type2,type1,edge1,2004-08-09 22:07:38
20,6,type1,type1,edge2,2004-08-09 22:26:04
83,26,type1,type1,edge1,2004-08-09 22:28:59
83,49,type1,type1,edge4,2004-08-09 22:31:55
20,5,type1,type1,edge2,2004-08-09 22:52:48
20,1,type1,type1,edge1,2004-08-10 00:51:16
20,1,type1,type1,edge1,2004-08-10 01:08:36
20,1,type1,type1,edge1,2004-08-10 01:09:59
83,49,type1,type1,edge2,2004-08-10 03:17:43
83,49,type1,type1,edge2,2004-08-10 03:41:24
273,39,type2,type1,edge3,2004-08-10 10:51:39
3,20,type1,type1,edge2,2004-08-10 12:19:03
4,20,type1,type1,edge3,2004-08-10 12:39:56
20,1,type1,type1,edge2,2004-08-10 12:49:43
20,3,type1,type1,edge1,2004-08-10 14:12:01
3,20,type1,type1,edge2,2004-08-10 14:54:24
83,49,type1,type1,edge2,2004-08-10 15:34:04
83,3,type1,type1,edge1,2004-08-10 15:38:59
29,95,type1,type1,edge3,2004-08-10 16:17:58
83,26,type1,type1,edge1,2004-08-10 16:18:00
297,39,type2,type1,edge2,2004-08-10 16:38:52
297,39,type2,type1,edge3,2004-08-10 16:51:00
4,20,type1,type1,edge2,2004-08-10 19:43:51
20,4,type1,type1,edge2,2004-08-10 20:09:45
4,20,type1,type1,edge2,2004-08-10 20:10:17
